feature,importance
cons_ld_RB,0.0015134452
cons_emolex_joy,0.0015127363
stock_percchange_year,0.0015098637
pros_ld_RB,0.0015063137
State name_Alabama_ohe,0.001503049
Price per square foot ($),0.0015009126
summary_ld_(,0.0014982055
State name_Ireland_ohe,0.0014943719
Crime index,0.0014927022
PercentBachelorsOrHigher,0.001491205
pros_ld_VBG,0.001487416
pros_ld_JJS,0.0014835668
State Tax Rate,0.0014772821
summary_ld_WRB,0.0014749363
State name_Maine_ohe,0.0014691366
summary_ld_EX,0.001463827
State name_North Carolina_ohe,0.0014578222
Precipitation,0.0014520382
pros_ld_NNPS,0.0014402777
pros_ld_TO,0.001435935
sp500_percchange_year,0.0014337675
State name_Nebraska_ohe,0.0014177102
pros_empath_swearing_terms,0.0014170742
Population,0.0014085091
Republican/lean Rep.,0.0013975076
stock_percchange_month,0.0013954865
cons_ld_VBZ,0.0013942082
State name_Minnesota_ohe,0.0013781104
State name_New York_ohe,0.0013716107
summary_ld_UH,0.0013599838
summary_ld_PDT,0.001358355
pros_ld_),0.0013330266
AverageTemperatureAvgLowF,0.0012979078
PercentHighSchoolOrHigher,0.0012972017
pros_emolex_trust,0.0012814918
AverageTemperatureF,0.0012668968
State name_Arkansas_ohe,0.0012640507
Sector_Finance_ohe,0.0012504737
State name_Kentucky_ohe,0.0012477229
pros_ld_IN,0.0012454839
sp500_percchange_month,0.0012416616
State name_Massachusetts_ohe,0.0012394947
month,0.0010858068
cons_ld_SYM,0.0010693234
cons_ld_LS,0.0010052754
State name_Montana_ohe,0.00093502144
pros_empath_rage,0.0008644585
summary_ld_),0.0008148012
cons_emolex_anticip,0.0
State name_Utah_ohe,0.0
State name_West Virginia_ohe,0.0
State name_Wyoming_ohe,0.0
State name_Wisconsin_ohe,0.0
Sector_Health Services_ohe,0.0
Sector_Technology Services_ohe,0.0
State name_Vermont_ohe,0.0
pros_ld_SYM,0.0
summary_ld_LS,0.0
State name_United Kingdom_ohe,0.0
State name_Switzerland_ohe,0.0
days from foundation to t0,0.0
summary_ld_SYM,0.0
pros_ld_LS,0.0
Sector_targenc_median,0.0
pros_ld_WP$,0.0
State name_Alaska_ohe,0.0
summary_ld_#,0.0
State name_Bermuda_ohe,0.0
State name_California_ohe,0.0
State name_Canada_ohe,0.0
cons_ld_WP$,0.0
State name_District of Columbia_ohe,0.0
State name_Florida_ohe,0.0
State name_Israel_ohe,0.0
State name_Kansas_ohe,0.0
State name_Louisiana_ohe,0.0
State name_Mississippi_ohe,0.0
State name_Netherlands_ohe,0.0
State name_Nevada_ohe,0.0
summary_ld_WP$,0.0
State name_North Dakota_ohe,0.0
pros_emolex_anticip,0.0
State name_South Dakota_ohe,0.0
State name_New Hampshire_ohe,0.0
